account_id,event_id,rating
5e4e6e4112771b000483118c,5e4d75dffb11270006be7479,5
5d4923fd8c0e3e00100f50ed,5e4ea2fbbc4124000ec93d8b,5
5e4e6f8b12771b000483143a,5e4ea2fbbc4124000ec93d8b,5
5e74347ae86daf0004661556,5e9f0de11dbc32000e77e047,5
5e419dab706b15000430f4e1,5e9f14e31098da0009840bc1,5
5e4e6eb386659e0004da092d,5e9f14e31098da0009840bc1,5
5e419bb7c1a5560004f7da74,5e9f16451098da0011840bbb,5
5e41a56d6c8c610004b5ec1d,5e9f16451098da0011840bbb,5
5e4195496c8c610004b5cab6,5e9f16451098da0011840bbb,5
5eb2876bb1ed620012dabd9e,5e9f16451098da0011840bbb,5
5e85583d1da0560004955179,5e9f16451098da0011840bbb,5
5ea1952e8fcb930009d897ec,5e9f16451098da0011840bbb,5
5ea023e81884a3000d1e48fa,5e9f16451098da0011840bbb,5
5e41a9d3706b15000431053b,5e9f16451098da0011840bbb,5
5ea828bed6778e000e86e5c6,5e9f16451098da0011840bbb,5
5e419daa8859c500049bbd65,5e9f16451098da0011840bbb,5
5e41e2165b9a1100041f2572,5e9f1ff6e046d80009206969,5
5e419bb36c8c610004b5daff,5e9f1ff6e046d80009206969,5
5e85574a1da0560004954d2d,5ea041f1c10985000f22e1c8,5
5eaedc320084b50009d56205,5ea041f1c10985000f22e1c8,5
5e419f38d756ad0004f6d54d,5ea041f1c10985000f22e1c8,5
5e4e6cee12771b0004830eee,5ea041f1c10985000f22e1c8,5
5e419afc6f02f100043d2f34,5ea04286c10985000f22e1d2,5
5e41a662d756ad0004f6e066,5ea042e8c10985000922e19f,5
5e4e6dbb12771b000483107f,5ea042f7c10985000922e1a7,5
5e41a98d8859c500049bce86,5ea042f7c10985000922e1a7,5
5ecd0063ba51a4000a033735,5ea042f7c10985000922e1a7,5
5ec19af44b1669000e7f2c40,5ea042f7c10985000922e1a7,5
5eb2b92d38f87000130568a6,5ea45339b050c8000e2a4bca,5
5ec78b412a772d0012a22af9,5ea6c9d71ef45d001305cb0e,5
5eb6fd95c04efc000ff48bc5,5ea6da240f1a5800136f31fb,5
5eb70208c04efc000ff48bd5,5ea6da240f1a5800136f31fb,5
5e4198b2d26a25000490ade4,5ea6e29c0f1a5800136f328f,5
5e41a4a1706b15000430fec4,5ea6e9110f1a5800136f32c0,5
5e41a2790b14e800041a5c6f,5ea6e9110f1a5800136f32c0,3
5e4e6f3f12771b000483137d,5ea6e9110f1a5800136f32c0,5
5e4e6eb386659e0004da092d,5ea84543d6778e000e86e5d9,4
5e5b27960b92ab000426fd83,5ea84543d6778e000e86e5d9,3
5e419643d756ad0004f6c358,5ea84543d6778e000e86e5d9,5
5e41944bc1a5560004f7c70f,5ea84543d6778e000e86e5d9,4
5e419514c8764e0004f664af,5ea84543d6778e000e86e5d9,4
5e41ac896f02f100043d49f4,5ea84543d6778e000e86e5d9,5
5e41959e0b14e800041a4125,5ea84543d6778e000e86e5d9,3
5e4e6f1586659e0004da0a1e,5ea84543d6778e000e86e5d9,3
5e41a1d2d26a25000490bc1f,5ea84543d6778e000e86e5d9,4
5ec1fbe1074c19000490d633,5eb028a03f587a001312712f,3
5ec45157ce6c38000a04ad9e,5eb028a03f587a001312712f,5
5dcd66da1a29ae000976cd72,5eb02a1f3888fa000e19c913,5
5ead955f0c0db10013d2ba44,5eb02c31c75bbf00134492c0,5
5ec90993c08e420014264108,5eb02c31c75bbf00134492c0,5
5e419c2d6f02f100043d31be,5eb02c723b7028001394e52c,5
